PointID1,PointID2,PointID3
51119,51118,51149
51119,5188,51118
5188,5187,51118
51119,5189,5188
51119,51120,5189
51120,5190,5189
51120,51121,5190
51121,51122,5190
51122,5191,5190
51122,51123,5191
51123,5192,5191
51123,51124,5192
51124,5193,5192
51124,5194,5193
51124,51125,5194
51125,5195,5194
51125,51126,5195
51126,51127,5195
51127,5196,5195
51127,51128,5196
51128,5197,5196
51128,51129,5197
51129,5198,5197
51129,51130,5198
51130,5199,5198
51130,51100,5199
51100,5169,5199
51100,5170,5169
51100,51101,5170
51101,5171,5170
5171,5140,5170
5140,5139,5170
5171,5141,5140
5171,5172,5141
5171,51103,5172
51103,51104,5172
51104,5173,5172
51104,5174,5173
51104,51105,5174
51104,51136,51105
51136,51137,51105
51137,51106,51105
51137,51138,51106
51138,51107,51106
51138,51139,51107
51139,51108,51107
51139,51109,51108
51139,51140,51109
51140,51141,51109
51141,51110,51109
51141,51111,51110
51141,51142,51111
51142,51112,51111
51142,51143,51112
51143,51144,51112
51144,51113,51112
51144,51114,51113
51144,51145,51114
51145,51146,51114
51146,51115,51114
51146,51116,51115
51146,51147,51116
51146,51177,51147
51177,51178,51147
51177,51208,51178
51208,51209,51178
51208,51239,51209
51239,51240,51209
51239,51270,51240
51270,51271,51240
51270,51302,51271
51270,51301,51302
51301,51332,51302
51332,51333,51302
51332,51364,51333
51332,51363,51364
51332,51362,51363
51332,51331,51362
51331,51330,51362
51330,51361,51362
51361,51392,51362
51361,51360,51392
51360,51391,51392
51391,51422,51392
51391,51421,51422
51421,51452,51422
51421,51451,51452
51451,51479,51452
51479,51480,51452
51479,51511,51480
51511,51512,51480
51511,51542,51512
51542,51543,51512
51542,51573,51543
51573,51574,51543
51574,51575,51543
51575,51544,51543
51575,51545,51544
51575,51576,51545
51576,51546,51545
51576,51577,51546
51576,51608,51577
51576,51607,51608
51607,51669,51608
51669,51670,51608
51669,51700,51670
51700,51701,51670
51700,51731,51701
51731,51732,51701
51731,51762,51732
51762,51763,51732
51762,51793,51763
51793,51794,51763
51793,51825,51794
51793,51824,51825
51793,51792,51824
51792,51823,51824
51792,51822,51823
51792,51791,51822
51791,51821,51822
51791,51790,51821
51790,51820,51821
51790,51789,51820
51789,51819,51820
51789,51788,51819
51788,51787,51819
51787,51818,51819
51787,51817,51818
51787,51786,51817
51786,51816,51817
51816,51847,51817
51816,51815,51847
51815,51846,51847
51815,51845,51846
51815,51814,51845
51814,51813,51845
51813,51844,51845
51813,51843,51844
51813,51812,51843
51812,51842,51843
51812,51811,51842
51811,51810,51842
51810,51841,51842
51810,51809,51841
51809,51840,51841
51809,51808,51840
51808,51839,51840
51808,51807,51839
51807,51838,51839
51807,51837,51838
51807,51806,51837
51806,51836,51837
51806,51805,51836
51805,51835,51836
51835,51866,51836
51835,51865,51866
51835,51834,51865
51834,51833,51865
51833,51864,51865
51833,51832,51864
51832,51863,51864
51832,51862,51863
51832,51831,51862
51831,51830,51862
51830,51861,51862
51830,51860,51861
51860,51910,51861
51830,51829,51860
51829,51828,51860
51828,51859,51860
51829,51797,51828
51829,51798,51797
51798,51766,51797
51798,51767,51766
51767,51736,51766
51736,51735,51766
51736,51704,51735
51736,51705,51704
51705,51674,51704
51674,51673,51704
51674,51642,51673
51674,51643,51642
51643,51580,51642
51643,51581,51580
51581,51550,51580
51550,51549,51580
51550,51518,51549
51550,51519,51518
51519,51488,51518
51488,51487,51518
51488,51456,51487
51488,51457,51456
51457,51429,51456
51457,51430,51429
51430,51398,51429
51430,51399,51398
51399,51367,51398
51399,51368,51367
51368,51337,51367
51337,51336,51367
51337,51306,51336
51306,51305,51336
51306,51275,51305
51275,51274,51305
51275,51243,51274
51275,51244,51243
51244,51212,51243
51244,51213,51212
51213,51182,51212
51182,51181,51212
51182,51151,51181
51151,51150,51181
51151,51120,51150
51120,51119,51150
51151,51121,51120
51151,51152,51121
51152,51122,51121
51152,51153,51122
51153,51154,51122
51154,51123,51122
51154,51124,51123
51154,51155,51124
51155,51125,51124
51155,51156,51125
51156,51126,51125
51156,51157,51126
51157,51127,51126
51157,51158,51127
51158,51128,51127
51158,51159,51128
51159,51160,51128
51160,51129,51128
51160,51161,51129
51161,51130,51129
51161,51162,51130
51162,51131,51130
51131,51100,51130
51131,51101,51100
51131,51132,51101
51132,51133,51101
51133,51102,51101
51102,5171,51101
51102,51103,5171
51102,51133,51103
51133,51134,51103
51134,51104,51103
51134,51135,51104
51135,51136,51104
51135,51167,51136
51167,51137,51136
51167,51168,51137
51168,51169,51137
51169,51138,51137
51169,51139,51138
51169,51170,51139
51170,51171,51139
51171,51140,51139
51171,51141,51140
51171,51172,51141
51172,51173,51141
51173,51142,51141
51173,51174,51142
51174,51143,51142
51174,51175,51143
51175,51144,51143
51175,51145,51144
51175,51176,51145
51176,51177,51145
51177,51146,51145
51176,51208,51177
51176,51207,51208
51207,51238,51208
51238,51239,51208
51238,51269,51239
51269,51270,51239
51269,51301,51270
51269,51300,51301
51300,51331,51301
51331,51332,51301
51300,51299,51331
51299,51330,51331
51299,51329,51330
51329,51361,51330
51329,51360,51361
51329,51359,51360
51359,51390,51360
51390,51391,51360
51390,51421,51391
51390,51420,51421
51420,51451,51421
51420,51419,51451
51419,51450,51451
51450,51478,51451
51478,51479,51451
51478,51509,51479
51509,51510,51479
51510,51511,51479
51510,51541,51511
51541,51542,51511
51541,51573,51542
51541,51572,51573
51572,51604,51573
51604,51574,51573
51604,51605,51574
51605,51606,51574
51606,51575,51574
51606,51576,51575
51606,51607,51576
51606,51668,51607
51668,51669,51607
51668,51700,51669
51668,51699,51700
51699,51731,51700
51699,51730,51731
51730,51762,51731
51730,51761,51762
51761,51792,51762
51792,51793,51762
51761,51791,51792
51761,51760,51791
51760,51759,51791
51759,51790,51791
51759,51758,51790
51758,51789,51790
51758,51757,51789
51757,51788,51789
51757,51756,51788
51756,51787,51788
51756,51755,51787
51755,51786,51787
51755,51754,51786
51754,51785,51786
51785,51816,51786
51785,51815,51816
51785,51784,51815
51784,51814,51815
51784,51783,51814
51783,51782,51814
51782,51813,51814
51782,51812,51813
51782,51781,51812
51781,51780,51812
51780,51811,51812
51780,51810,51811
51780,51779,51810
51779,51778,51810
51778,51809,51810
51778,51777,51809
51777,51808,51809
51777,51776,51808
51776,51807,51808
51776,51775,51807
51775,51806,51807
51775,51774,51806
51774,51805,51806
51774,51773,51805
51773,51804,51805
51804,51835,51805
51804,51834,51835
51804,51803,51834
51803,51833,51834
51803,51802,51833
51802,51801,51833
51801,51832,51833
51801,51831,51832
51801,51800,51831
51800,51799,51831
51799,51830,51831
51799,51798,51830
51798,51829,51830
51799,51768,51798
51768,51767,51798
51768,51737,51767
51737,51736,51767
51737,51705,51736
51737,51706,51705
51706,51675,51705
51675,51674,51705
51675,51643,51674
51675,51644,51643
51644,51581,51643
51644,51582,51581
51582,51550,51581
51582,51551,51550
51551,51519,51550
51551,51520,51519
51520,51488,51519
51520,51489,51488
51489,51457,51488
51489,51458,51457
51458,51431,51457
51431,51430,51457
51431,51399,51430
51431,51400,51399
51400,51369,51399
51369,51368,51399
51369,51338,51368
51338,51337,51368
51338,51306,51337
51338,51307,51306
51307,51276,51306
51276,51275,51306
51276,51245,51275
51245,51244,51275
51245,51213,51244
51245,51214,51213
51214,51183,51213
51183,51182,51213
51183,51151,51182
51183,51152,51151
51183,51184,51152
51184,51153,51152
51184,51185,51153
51185,51154,51153
51185,51186,51154
51186,51155,51154
51186,51187,51155
51187,51156,51155
51187,51188,51156
51188,51157,51156
51188,51189,51157
51189,51158,51157
51189,51190,51158
51190,51159,51158
51190,51160,51159
51190,51191,51160
51191,51161,51160
51191,51192,51161
51192,51162,51161
51192,51193,51162
51193,51163,51162
51163,51131,51162
51163,51132,51131
51163,51164,51132
51164,51133,51132
51164,51134,51133
51164,51165,51134
51165,51166,51134
51166,51135,51134
51166,51167,51135
51166,51197,51167
51197,51198,51167
51198,51199,51167
51199,51168,51167
51199,51200,51168
51200,51169,51168
51200,51170,51169
51200,51201,51170
